Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals
157124,2019-11-02,48.0,34.0,2.0,3.0
157123,2019-11-02,38.0,49.0,1.0,2.0
157119,2019-11-03,52.0,46.0,0.0,2.0
157120,2019-11-03,45.0,47.0,1.0,1.0
157131,2019-11-08,71.0,38.0,0.0,2.0
157126,2019-11-09,49.0,52.0,2.0,0.0
157125,2019-11-09,44.0,48.0,3.0,0.0
157130,2019-11-09,34.0,35.0,2.0,1.0
157132,2019-11-09,41.0,45.0,1.0,2.0
157133,2019-11-09,47.0,62.0,1.0,1.0
157127,2019-11-09,46.0,42.0,2.0,0.0
157129,2019-11-10,33.0,51.0,3.0,1.0
157134,2019-11-10,39.0,66.0,2.0,1.0
157128,2019-11-10,40.0,50.0,3.0,1.0
157144,2019-11-23,48.0,47.0,2.0,3.0
157135,2019-11-23,35.0,39.0,1.0,2.0
157136,2019-11-23,42.0,41.0,2.0,2.0
157138,2019-11-23,51.0,46.0,0.0,2.0
157139,2019-11-23,52.0,40.0,1.0,2.0
157140,2019-11-23,45.0,71.0,0.0,2.0
157143,2019-11-23,38.0,44.0,0.0,3.0
157141,2019-11-23,50.0,49.0,2.0,1.0
157142,2019-11-24,62.0,33.0,3.0,3.0
157137,2019-11-25,66.0,34.0,2.0,0.0
157150,2019-11-30,34.0,50.0,2.0,2.0
157145,2019-11-30,44.0,52.0,0.0,2.0
157146,2019-11-30,49.0,48.0,0.0,1.0
157148,2019-11-30,40.0,51.0,2.0,1.0
157153,2019-11-30,47.0,35.0,3.0,2.0
157152,2019-11-30,41.0,38.0,2.0,1.0
157151,2019-12-01,71.0,42.0,2.0,2.0
157154,2019-12-01,39.0,62.0,1.0,1.0
157147,2019-12-01,46.0,45.0,2.0,1.0
157149,2019-12-01,33.0,66.0,2.0,2.0
157163,2019-12-03,52.0,35.0,1.0,0.0
157156,2019-12-03,44.0,50.0,1.0,4.0
157157,2019-12-04,46.0,38.0,2.0,0.0
157159,2019-12-04,39.0,48.0,2.0,0.0
157160,2019-12-04,33.0,47.0,2.0,1.0
157161,2019-12-04,49.0,66.0,2.0,1.0
157162,2019-12-04,41.0,71.0,2.0,1.0
157164,2019-12-04,40.0,45.0,5.0,2.0
157158,2019-12-05,62.0,34.0,0.0,2.0
157155,2019-12-05,42.0,51.0,1.0,2.0
157168,2019-12-07,45.0,49.0,3.0,1.0
157165,2019-12-07,35.0,40.0,0.0,3.0
157172,2019-12-07,47.0,44.0,5.0,0.0
157173,2019-12-07,38.0,52.0,0.0,0.0
157169,2019-12-07,50.0,33.0,1.0,2.0
157166,2019-12-08,66.0,46.0,1.0,4.0
157170,2019-12-08,34.0,41.0,2.0,1.0
157171,2019-12-08,71.0,62.0,1.0,2.0
157167,2019-12-08,51.0,39.0,2.0,2.0
157174,2019-12-09,48.0,42.0,1.0,3.0
157180,2019-12-14,40.0,38.0,2.0,0.0
157176,2019-12-14,44.0,34.0,1.0,0.0
157177,2019-12-14,49.0,35.0,0.0,1.0
157179,2019-12-14,46.0,71.0,1.0,1.0
157182,2019-12-14,62.0,66.0,2.0,0.0
157183,2019-12-14,41.0,48.0,0.0,1.0
157181,2019-12-15,33.0,45.0,1.0,1.0
157184,2019-12-15,39.0,47.0,1.0,2.0
157175,2019-12-15,42.0,50.0,0.0,3.0
157178,2019-12-16,52.0,51.0,1.0,1.0
