Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
157027,2019-08-17,51.0,48.0,1.0,1.0,The American Express Community Stadium,Brighton,West Ham,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/48.png
157029,2019-08-17,45.0,38.0,1.0,0.0,Goodison Park,Everton,Watford,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/38.png
157031,2019-08-17,71.0,34.0,3.0,1.0,Carrow Road,Norwich,Newcastle,https://media.api-sports.io/football/teams/71.png,https://media.api-sports.io/football/teams/34.png
157033,2019-08-17,41.0,40.0,1.0,2.0,St. Mary's Stadium,Southampton,Liverpool,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/40.png
157030,2019-08-17,50.0,47.0,2.0,2.0,Etihad Stadium,Manchester City,Tottenham,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/47.png
157032,2019-08-18,62.0,52.0,1.0,0.0,Bramall Lane,Sheffield Utd,Crystal Palace,https://media.api-sports.io/football/teams/62.png,https://media.api-sports.io/football/teams/52.png
157028,2019-08-18,49.0,46.0,1.0,1.0,Stamford Bridge,Chelsea,Leicester,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/46.png
157034,2019-08-19,39.0,33.0,1.0,1.0,Molineux Stadium,Wolves,Manchester United,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/33.png
157036,2019-08-23,66.0,45.0,2.0,0.0,Villa Park,Aston Villa,Everton,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/45.png
157040,2019-08-24,71.0,49.0,2.0,3.0,Carrow Road,Norwich,Chelsea,https://media.api-sports.io/football/teams/71.png,https://media.api-sports.io/football/teams/49.png
157037,2019-08-24,51.0,41.0,0.0,2.0,The American Express Community Stadium,Brighton,Southampton,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/41.png
157039,2019-08-24,33.0,52.0,1.0,2.0,Old Trafford,Manchester United,Crystal Palace,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/52.png
157041,2019-08-24,62.0,46.0,1.0,2.0,Bramall Lane,Sheffield Utd,Leicester,https://media.api-sports.io/football/teams/62.png,https://media.api-sports.io/football/teams/46.png
157043,2019-08-24,38.0,48.0,1.0,3.0,Vicarage Road,Watford,West Ham,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/48.png
157038,2019-08-24,40.0,42.0,3.0,1.0,Anfield,Liverpool,Arsenal,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/42.png
157035,2019-08-25,35.0,50.0,1.0,3.0,Vitality Stadium,Bournemouth,Manchester City,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/50.png
157042,2019-08-25,47.0,34.0,0.0,1.0,Tottenham Hotspur Stadium,Tottenham,Newcastle,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/34.png
157044,2019-08-25,39.0,44.0,1.0,1.0,Molineux Stadium,Wolves,Burnley,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/44.png
157053,2019-08-31,41.0,33.0,1.0,1.0,St. Mary's Stadium,Southampton,Manchester United,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/33.png
157048,2019-08-31,52.0,66.0,1.0,0.0,Selhurst Park,Crystal Palace,Aston Villa,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/66.png
157050,2019-08-31,46.0,35.0,3.0,1.0,King Power Stadium,Leicester,Bournemouth,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/35.png
157051,2019-08-31,50.0,51.0,4.0,0.0,Etihad Stadium,Manchester City,Brighton,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/51.png
157052,2019-08-31,34.0,38.0,1.0,1.0,St. James' Park,Newcastle,Watford,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/38.png
