,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff,Fixture ID,Team Result Indicator,Opponent Result Indicator
766,-4.5,-2.5,-1.3000000000000007,0.5,-27.200000000000003,-11.100000000000009,-0.7,-4.6,-3.5,0.5,-2.1000000000000005,-23.599999999999994,-10.799999999999997,0.0,710700,2,0
767,0.9000000000000004,-0.3000000000000007,1.5,1.0,-0.5999999999999943,1.7000000000000028,-0.4999999999999999,-0.1999999999999993,0.7999999999999998,1.700000000000001,-0.9000000000000004,11.0,4.1000000000000085,-0.3999999999999999,710701,1,1
768,-2.3000000000000007,-3.1999999999999993,-2.9000000000000004,-0.7999999999999998,-9.799999999999997,-4.200000000000003,-1.0,-1.799999999999999,-1.6000000000000005,-2.6000000000000014,1.2000000000000002,10.200000000000003,2.799999999999997,-0.5,710702,0,2
769,-2.0999999999999996,-1.299999999999999,5.699999999999999,-0.1999999999999993,-16.0,-8.600000000000009,-0.2999999999999998,9.499999999999998,6.999999999999999,0.09999999999999964,4.6,28.400000000000006,10.600000000000009,1.1,710703,0,2
770,0.0,-1.0999999999999996,1.7999999999999998,-0.2999999999999998,-10.599999999999994,-2.5,0.30000000000000004,8.4,6.4,-1.0999999999999996,3.0,20.200000000000003,10.5,1.9,710704,2,0
771,7.9,4.9,0.9000000000000004,3.0,27.799999999999997,11.600000000000009,2.3,-3.1999999999999993,-2.3999999999999995,1.200000000000001,0.20000000000000018,4.400000000000006,0.29999999999999716,0.09999999999999998,710705,2,0
772,1.5,0.2999999999999998,1.0999999999999996,1.6999999999999993,1.0,2.4000000000000057,-0.5,1.200000000000001,1.0999999999999996,-0.7999999999999989,0.39999999999999947,3.200000000000003,1.0,0.30000000000000004,710706,0,2
773,-3.6000000000000014,-3.299999999999999,5.700000000000001,-1.2000000000000002,-21.599999999999994,-11.0,-0.7000000000000002,-1.5,0.8000000000000007,0.20000000000000107,-1.9000000000000004,-5.400000000000006,-4.299999999999997,-0.5,710707,0,2
774,0.0,0.2999999999999998,1.6000000000000014,-0.7999999999999998,14.799999999999997,5.599999999999994,-0.5,0.10000000000000142,-0.09999999999999964,-0.7999999999999989,2.0,9.0,3.0999999999999943,0.10000000000000009,710708,0,2
775,-0.3999999999999986,-0.7999999999999989,2.0999999999999996,-0.1999999999999993,-11.400000000000006,-2.9000000000000057,0.5,-6.0,-4.8,0.1999999999999993,-3.3000000000000003,-22.200000000000003,-9.699999999999989,0.0,710709,1,1
776,7.999999999999998,5.300000000000001,-2.1999999999999993,3.1999999999999997,22.400000000000006,11.099999999999994,1.4999999999999998,1.8000000000000007,0.7999999999999998,1.799999999999999,0.3000000000000007,14.400000000000006,6.299999999999997,0.0,710710,2,0
777,-1.0,0.0,-1.5,-2.4,-20.599999999999994,-8.799999999999997,-0.9,0.0,0.7999999999999998,0.40000000000000036,-1.5,4.0,2.8000000000000114,0.09999999999999987,710711,0,2
778,-3.0999999999999996,-1.8999999999999995,-0.9000000000000004,1.2999999999999998,-24.599999999999994,-10.099999999999994,-0.5999999999999999,-1.1000000000000014,-1.0999999999999996,-2.4000000000000004,0.20000000000000018,3.799999999999997,1.6000000000000085,-0.09999999999999987,710712,0,2
779,-4.0,-2.000000000000001,-4.4,-2.0,-17.0,-6.800000000000011,-0.3999999999999999,8.1,5.0,0.5999999999999996,3.0999999999999996,29.199999999999996,12.299999999999997,2.1,710713,0,2
780,-4.800000000000001,-3.4000000000000004,0.5999999999999996,-0.5999999999999996,-1.4000000000000057,-2.0999999999999943,0.19999999999999996,10.399999999999999,8.3,0.40000000000000036,4.8999999999999995,31.0,12.0,1.3,710714,0,2
781,-3.0,-2.9000000000000004,-3.1999999999999993,-0.5999999999999996,-7.799999999999997,-4.200000000000003,-1.1,-2.5999999999999996,-2.4000000000000004,1.5,-2.6000000000000005,-0.7999999999999972,1.7000000000000028,-0.8,710715,0,2
782,-0.1999999999999993,-1.0,2.3,0.39999999999999947,-8.599999999999994,-1.6000000000000085,0.3999999999999999,1.4000000000000004,1.7999999999999998,-1.0999999999999996,0.5,6.0,1.8000000000000114,0.40000000000000013,710716,0,2
783,-4.5,-3.799999999999999,3.0,-2.8,-2.200000000000003,1.2999999999999972,-0.5999999999999999,-0.3000000000000007,1.4000000000000004,-0.5,-0.39999999999999947,0.5999999999999943,-1.1000000000000085,-0.3999999999999999,710717,2,0
784,-0.1999999999999993,0.1999999999999993,2.0,-0.39999999999999947,13.799999999999997,5.5,-0.7000000000000001,-5.699999999999999,-4.500000000000001,0.3000000000000007,-1.9000000000000004,-4.200000000000003,-2.700000000000003,0.0,710718,0,2
785,-3.9000000000000004,-3.700000000000001,5.6,-1.7000000000000002,-24.599999999999994,-12.699999999999989,-0.8000000000000003,-5.4,-4.1,0.5999999999999996,-3.6,-20.799999999999997,-9.0,0.0,710719,1,1
786,-2.799999999999999,-2.3000000000000007,-3.3000000000000007,-0.5,-0.20000000000000284,-0.19999999999998863,0.30000000000000004,0.5,0.0,-1.0999999999999996,1.7000000000000002,8.799999999999997,3.1000000000000085,0.4999999999999999,710720,0,2
787,-3.5,-2.0999999999999996,-5.5,-2.8,-17.400000000000006,-7.1000000000000085,-0.6000000000000001,-3.0999999999999996,-2.5,-4.0,-0.20000000000000018,-9.0,-4.700000000000003,-1.0,710721,2,0
788,0.5,1.5,0.3000000000000007,-1.0,6.799999999999997,4.0,0.30000000000000004,-0.20000000000000107,-0.7000000000000011,1.1000000000000014,1.6000000000000005,-2.5999999999999943,0.8000000000000114,-0.7,710722,1,1
789,-1.6000000000000014,-1.0,-1.9000000000000004,-3.2,-22.200000000000003,-10.0,-1.3,9.4,6.3999999999999995,-3.0,4.4,25.799999999999997,12.699999999999989,1.7000000000000002,710723,1,1
790,-3.1999999999999993,-2.0,0.5,1.4,-23.599999999999994,-9.900000000000006,-1.0,9.3,6.5,1.4000000000000004,3.0,28.199999999999996,11.800000000000011,2.2,710724,0,2
